Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"X_28292_1",0.415,2,234.588,-155.3,0.97908,0,0,0,0,0,0,0,0
"X_28292_2",0.415,2,234.588,-155.3,0.97908,0,0,0,0,0,0,0,0
"X_28272",0.415,3,240.054,85.2,1.0019,0,0,0,0,0,0,0,0
"X_28272_1",0.415,3,239.481,85.2,0.9995,0,0,0,0,0,0,0,0
"X_28272_2",0.415,3,239.481,85.2,0.9995,0,0,0,0,0,0,0,0
"X_1144263",0.415,1,236.243,-34.7,0.98599,0,0,0,0,0,0,0,0
"X_1144263_1",0.415,1,235.717,-34.7,0.98379,0,0,0,0,0,0,0,0
"X_1144263_2",0.415,1,235.717,-34.7,0.98379,0,0,0,0,0,0,0,0
"X_1144263_3",0.415,1,235.717,-34.7,0.98379,0,0,0,0,0,0,0,0
"X_1144263_4",0.415,1,235.717,-34.7,0.98379,0,0,0,0,0,0,0,0
"X_63663",0.415,1,239.073,-34.3,0.9978,0,0,0,0,0,0,0,0
"X_63663_1",0.415,1,238.341,-34.2,0.99474,0,0,0,0,0,0,0,0
"X_56755",0.415,1,235.442,-35.1,0.98265,0,0,0,0,0,0,0,0
"X_56755_1",0.415,1,234.856,-35.1,0.9802,0,0,0,0,0,0,0,0
"X_56755_2",0.415,1,234.856,-35.1,0.9802,0,0,0,0,0,0,0,0
"X_56755_3",0.415,1,234.856,-35.1,0.9802,0,0,0,0,0,0,0,0
"X_56755_4",0.415,1,234.856,-35.1,0.9802,0,0,0,0,0,0,0,0
"X_74450",0.415,3,233.414,84.6,0.97418,0,0,0,0,0,0,0,0
"X_74450_1",0.415,3,232.817,84.6,0.97169,0,0,0,0,0,0,0,0
"X_74450_2",0.415,3,232.817,84.6,0.97169,0,0,0,0,0,0,0,0
"X_74450_3",0.415,3,232.817,84.6,0.97169,0,0,0,0,0,0,0,0
"X_69488",0.415,2,234.41,-155.5,0.97834,0,0,0,0,0,0,0,0
"X_69488_1",0.415,2,233.773,-155.5,0.97568,0,0,0,0,0,0,0,0
"X_69488_2",0.415,2,233.773,-155.5,0.97568,0,0,0,0,0,0,0,0
"X_69488_3",0.415,2,233.773,-155.5,0.97568,0,0,0,0,0,0,0,0
"X_63672",0.415,3,236.746,84.9,0.98809,0,0,0,0,0,0,0,0
"X_63672_1",0.415,3,236.036,84.9,0.98512,0,0,0,0,0,0,0,0
"X_63672_2",0.415,3,236.036,84.9,0.98512,0,0,0,0,0,0,0,0
"X_63672_3",0.415,3,236.036,84.9,0.98512,0,0,0,0,0,0,0,0
"X_14882",0.415,3,240.637,85.5,1.0043,0,0,0,0,0,0,0,0
"X_14882_1",0.415,3,240.046,85.5,1.0019,0,0,0,0,0,0,0,0
"X_842",0.415,1,240.341,-34.0,1.0031,0,0,0,0,0,0,0,0
"X_842_1",0.415,1,239.968,-34.0,1.0015,0,0,0,0,0,0,0,0
"X_804",0.415,2,237.922,-154.9,0.99299,0,0,0,0,0,0,0,0
"X_804_1",0.415,2,237.383,-154.9,0.99075,0,0,0,0,0,0,0,0
"X_804_2",0.415,2,237.383,-154.9,0.99075,0,0,0,0,0,0,0,0
"X_804_3",0.415,2,237.383,-154.9,0.99075,0,0,0,0,0,0,0,0
"X_1144252",0.415,2,230.145,-155.9,0.96054,0,0,0,0,0,0,0,0
"X_1144252_1",0.415,2,229.055,-155.9,0.95599,0,0,0,0,0,0,0,0
"X_1144252_2",0.415,2,229.055,-155.9,0.95599,0,0,0,0,0,0,0,0
"X_14838",0.415,3,241.304,85.4,1.0071,0,0,0,0,0,0,0,0
"X_14838_1",0.415,3,241.067,85.4,1.0061,0,0,0,0,0,0,0,0
"X_39630",0.415,3,235.605,84.7,0.98333,0,0,0,0,0,0,0,0
"X_39630_1",0.415,3,234.672,84.8,0.97943,0,0,0,0,0,0,0,0
"X_39630_2",0.415,3,234.672,84.8,0.97943,0,0,0,0,0,0,0,0
"X_39630_3",0.415,3,234.672,84.8,0.97943,0,0,0,0,0,0,0,0
"X_1144264",0.415,1,235.549,-34.8,0.98309,0,0,0,0,0,0,0,0
"X_1144264_1",0.415,1,234.931,-34.8,0.98051,0,0,0,0,0,0,0,0
"X_1144264_2",0.415,1,234.931,-34.8,0.98051,0,0,0,0,0,0,0,0
"X_1144264_3",0.415,1,234.931,-34.8,0.98051,0,0,0,0,0,0,0,0
"X_1144264_4",0.415,1,234.931,-34.8,0.98051,0,0,0,0,0,0,0,0
"X_8184",0.415,1,238.039,-34.2,0.99348,0,0,0,0,0,0,0,0
"X_8184_1",0.415,1,237.495,-34.2,0.99121,0,0,0,0,0,0,0,0
"X_94747",0.415,1,236.913,-34.2,0.98878,0,0,0,0,0,0,0,0
"X_94747_1",0.415,1,236.871,-34.2,0.98861,0,0,0,0,0,0,0,0
"X_14845",0.415,1,238.511,-34.2,0.99545,0,0,0,0,0,0,0,0
"X_14845_1",0.415,1,237.961,-34.1,0.99316,0,0,0,0,0,0,0,0
"X_14845_2",0.415,1,237.961,-34.1,0.99316,0,0,0,0,0,0,0,0
"X_69617",0.415,1,234.05,-34.7,0.97684,0,0,0,0,0,0,0,0
"X_69617_1",0.415,1,233.482,-34.6,0.97446,0,0,0,0,0,0,0,0
"X_69617_2",0.415,1,233.482,-34.6,0.97446,0,0,0,0,0,0,0,0
"X_69617_3",0.415,1,233.482,-34.6,0.97446,0,0,0,0,0,0,0,0
"X_46407",0.415,3,235.788,84.9,0.98409,0,0,0,0,0,0,0,0
"X_46407_1",0.415,3,235.362,84.9,0.98231,0,0,0,0,0,0,0,0
"X_46407_2",0.415,3,235.362,84.9,0.98231,0,0,0,0,0,0,0,0
"X_46407_3",0.415,3,235.362,84.9,0.98231,0,0,0,0,0,0,0,0
"X_69484",0.415,2,234.476,-155.5,0.97861,0,0,0,0,0,0,0,0
"X_69484_1",0.415,2,233.846,-155.5,0.97599,0,0,0,0,0,0,0,0
"X_69484_2",0.415,2,233.846,-155.5,0.97599,0,0,0,0,0,0,0,0
"X_69484_3",0.415,2,233.846,-155.5,0.97599,0,0,0,0,0,0,0,0
"X_8109",0.415,1,234.043,-34.8,0.9768,0,0,0,0,0,0,0,0
"X_8109_1",0.415,1,233.35,-34.8,0.97391,0,0,0,0,0,0,0,0
"X_8109_2",0.415,1,233.35,-34.8,0.97391,0,0,0,0,0,0,0,0
"X_8109_3",0.415,1,233.35,-34.8,0.97391,0,0,0,0,0,0,0,0
"X_39628",0.415,3,237.035,85.0,0.98929,0,0,0,0,0,0,0,0
"X_39628_1",0.415,3,236.381,85.0,0.98657,0,0,0,0,0,0,0,0
"X_39628_2",0.415,3,236.381,85.0,0.98657,0,0,0,0,0,0,0,0
"X_39628_3",0.415,3,236.381,85.0,0.98657,0,0,0,0,0,0,0,0
"X_1012412",0.415,3,239.399,85.3,0.99916,0,0,0,0,0,0,0,0
"X_1012412_1",0.415,3,238.959,85.3,0.99732,0,0,0,0,0,0,0,0
"X_1012412_2",0.415,3,238.959,85.3,0.99732,0,0,0,0,0,0,0,0
"X_8196",0.415,2,233.194,-155.4,0.97326,0,0,0,0,0,0,0,0
"X_8196_1",0.415,2,232.872,-155.4,0.97192,0,0,0,0,0,0,0,0
"X_63642",0.415,1,239.308,-34.2,0.99878,0,0,0,0,0,0,0,0
"X_63642_1",0.415,1,239.024,-34.2,0.9976,0,0,0,0,0,0,0,0
"X_28265",0.415,3,238.523,85.2,0.9955,0,0,0,0,0,0,0,0
"X_28265_1",0.415,3,238.243,85.2,0.99433,0,0,0,0,0,0,0,0
"X_28265_2",0.415,3,238.243,85.2,0.99433,0,0,0,0,0,0,0,0
"X_63711",0.415,2,238.249,-154.7,0.99436,0,0,0,0,0,0,0,0
"X_63711_1",0.415,2,237.803,-154.7,0.9925,0,0,0,0,0,0,0,0
"X_63711_2",0.415,2,237.803,-154.7,0.9925,0,0,0,0,0,0,0,0
"X_14997",0.415,2,231.06,-155.7,0.96436,0,0,0,0,0,0,0,0
"X_14997_1",0.415,2,230.464,-155.6,0.96187,0,0,0,0,0,0,0,0
"X_14997_2",0.415,2,230.464,-155.6,0.96187,0,0,0,0,0,0,0,0
"X_39585",0.415,2,230.591,-156.0,0.9624,0,0,0,0,0,0,0,0
"X_39585_1",0.415,2,229.989,-156.0,0.95988,0,0,0,0,0,0,0,0
"X_39585_2",0.415,2,229.989,-156.0,0.95988,0,0,0,0,0,0,0,0
"X_39585_3",0.415,2,229.989,-156.0,0.95988,0,0,0,0,0,0,0,0
"X_39585_4",0.415,2,229.989,-156.0,0.95988,0,0,0,0,0,0,0,0
"X_52528",0.415,3,239.702,85.3,1.0004,0,0,0,0,0,0,0,0
"X_52528_1",0.415,3,239.154,85.3,0.99814,0,0,0,0,0,0,0,0
"X_52528_2",0.415,3,239.154,85.3,0.99814,0,0,0,0,0,0,0,0
"X_8083",0.415,1,235.811,-34.6,0.98418,0,0,0,0,0,0,0,0
"X_8083_1",0.415,1,235.23,-34.6,0.98176,0,0,0,0,0,0,0,0
"X_8083_2",0.415,1,235.23,-34.6,0.98176,0,0,0,0,0,0,0,0
"X_8083_3",0.415,1,235.23,-34.6,0.98176,0,0,0,0,0,0,0,0
"X_8083_4",0.415,1,235.23,-34.6,0.98176,0,0,0,0,0,0,0,0
