Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"X_39586",0.415,2,232.421,-155.7,0.97004,0,0,0,0,0,0,0,0
"X_39586_1",0.415,2,231.949,-155.7,0.96807,0,0,0,0,0,0,0,0
"X_39586_2",0.415,2,231.949,-155.7,0.96807,0,0,0,0,0,0,0,0
"X_39586_3",0.415,2,231.949,-155.7,0.96807,0,0,0,0,0,0,0,0
"X_52527",0.415,3,240.592,85.4,1.0041,0,0,0,0,0,0,0,0
"X_52527_1",0.415,3,239.979,85.4,1.0016,0,0,0,0,0,0,0,0
"X_838",0.415,1,238.263,-34.3,0.99442,0,0,0,0,0,0,0,0
"X_838_1",0.415,1,237.689,-34.3,0.99202,0,0,0,0,0,0,0,0
"X_838_2",0.415,1,237.689,-34.3,0.99202,0,0,0,0,0,0,0,0
"X_838_3",0.415,1,237.689,-34.3,0.99202,0,0,0,0,0,0,0,0
"X_28269",0.415,3,237.998,85.1,0.99331,0,0,0,0,0,0,0,0
"X_28269_1",0.415,3,237.545,85.1,0.99142,0,0,0,0,0,0,0,0
"X_28269_2",0.415,3,237.545,85.1,0.99142,0,0,0,0,0,0,0,0
"X_28269_3",0.415,3,237.545,85.1,0.99142,0,0,0,0,0,0,0,0
"X_69653",0.415,3,236.691,84.9,0.98786,0,0,0,0,0,0,0,0
"X_69653_1",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_69653_2",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_69653_3",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_69653_4",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_69653_5",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_69653_6",0.415,3,236.368,84.9,0.98651,0,0,0,0,0,0,0,0
"X_105409",0.415,3,238.83,85.2,0.99679,0,0,0,0,0,0,0,0
"X_105409_1",0.415,3,238.019,85.2,0.9934,0,0,0,0,0,0,0,0
"X_105409_2",0.415,3,238.019,85.2,0.9934,0,0,0,0,0,0,0,0
"X_63632",0.415,2,238.306,-154.9,0.9946,0,0,0,0,0,0,0,0
"X_63632_1",0.415,2,237.896,-154.8,0.99289,0,0,0,0,0,0,0,0
"X_63632_2",0.415,2,237.896,-154.8,0.99289,0,0,0,0,0,0,0,0
"X_8105",0.415,1,233.984,-34.8,0.97656,0,0,0,0,0,0,0,0
"X_8105_1",0.415,1,233.28,-34.8,0.97362,0,0,0,0,0,0,0,0
"X_8105_2",0.415,1,233.28,-34.8,0.97362,0,0,0,0,0,0,0,0
"X_8105_3",0.415,1,233.28,-34.8,0.97362,0,0,0,0,0,0,0,0
"X_74438",0.415,1,237.283,-34.8,0.99033,0,0,0,0,0,0,0,0
"X_74438_1",0.415,1,236.245,-34.8,0.986,0,0,0,0,0,0,0,0
"X_14870",0.415,1,236.502,-34.7,0.98707,0,0,0,0,0,0,0,0
"X_14870_1",0.415,1,236.004,-34.7,0.98499,0,0,0,0,0,0,0,0
"X_14870_2",0.415,1,236.004,-34.7,0.98499,0,0,0,0,0,0,0,0
"X_14870_3",0.415,1,236.004,-34.7,0.98499,0,0,0,0,0,0,0,0
"X_14870_4",0.415,1,236.004,-34.7,0.98499,0,0,0,0,0,0,0,0
"X_14854",0.415,2,232.658,-155.7,0.97102,0,0,0,0,0,0,0,0
"X_14854_1",0.415,2,231.978,-155.7,0.96819,0,0,0,0,0,0,0,0
"X_14854_2",0.415,2,231.978,-155.7,0.96819,0,0,0,0,0,0,0,0
"X_39565",0.415,1,237.8,-34.4,0.99248,0,0,0,0,0,0,0,0
"X_39565_1",0.415,1,237.157,-34.4,0.9898,0,0,0,0,0,0,0,0
"X_39565_2",0.415,1,237.157,-34.4,0.9898,0,0,0,0,0,0,0,0
"X_39565_3",0.415,1,237.157,-34.4,0.9898,0,0,0,0,0,0,0,0
"X_1144247",0.415,2,236.596,-155.2,0.98746,0,0,0,0,0,0,0,0
"X_1144247_1",0.415,2,236.313,-155.2,0.98628,0,0,0,0,0,0,0,0
"X_800",0.415,1,236.695,-34.6,0.98788,0,0,0,0,0,0,0,0
"X_800_1",0.415,1,235.789,-34.6,0.98409,0,0,0,0,0,0,0,0
"X_800_2",0.415,1,235.789,-34.6,0.98409,0,0,0,0,0,0,0,0
"X_28226",0.415,3,239.424,85.3,0.99926,0,0,0,0,0,0,0,0
"X_28226_1",0.415,3,238.777,85.3,0.99656,0,0,0,0,0,0,0,0
"X_28226_2",0.415,3,238.777,85.3,0.99656,0,0,0,0,0,0,0,0
"X_62298",0.415,2,235.987,-155.3,0.98492,0,0,0,0,0,0,0,0
